date,log_RV,volume_day
2023-01-03,-8.874289664639987,50870
2023-01-04,-8.518717139706542,58402
2023-01-05,-8.341432888005285,54066
2023-01-06,-9.010458383629796,45786
2023-01-09,-8.520255231216778,79796
2023-01-10,-8.68779817021248,78760
2023-01-11,-8.222873136930607,120083
2023-01-12,-8.812298705336895,89136
2023-01-13,-7.761891225135016,125825
2023-01-16,-8.303150020497597,92822
2023-01-17,-8.961942170192646,90334
2023-01-18,-8.295859745226377,109922
2023-01-19,-8.381987005813231,101828
2023-01-20,-8.667092113984072,82155
2023-01-23,-8.745921028780469,88021
2023-01-24,-8.94267812923574,93157
2023-01-25,-8.921329895310569,91463
2023-01-26,-8.846574706843187,98984
2023-01-27,-9.158877136410004,64961
2023-01-30,-9.233019052554464,84594
2023-01-31,-9.11625353333462,98588
2023-02-01,-8.610704408262434,93700
2023-02-02,-9.044887763222713,91555
2023-02-03,-8.573319625230999,105431
2023-02-06,-8.705968573380801,86776
2023-02-07,-8.76750065636482,91969
2023-02-08,-8.52571225667199,107556
2023-02-09,-8.386470562906934,128189
2023-02-10,-8.779902645156975,79779
2023-02-13,-9.174572429576724,86222
2023-02-14,-8.53734905791228,104661
2023-02-15,-7.886644204717097,146670
2023-02-16,-7.892729603342381,116899
2023-02-17,-8.201148830881321,112854
2023-02-20,-8.41961515041638,110478
2023-02-21,-8.085383663147333,141570
2023-02-22,-8.848883180193884,87117
2023-02-24,-8.260279951453215,94804
2023-02-27,-8.354448579420547,128368
2023-02-28,-8.44308283970335,95741
2023-03-01,-8.746712285513011,96074
2023-03-02,-8.34399683914316,142219
2023-03-03,-8.827530816085257,81709
2023-03-06,-9.095006971412078,85730
2023-03-07,-9.281026611034678,75959
2023-03-09,-8.810936913650366,91574
2023-03-10,-9.219531604094083,71268
2023-03-13,-8.466825032516077,108540
2023-03-14,-9.123503300686307,76836
2023-03-15,-8.109066306342207,35527
2023-03-16,-8.53059546884729,105216
2023-03-17,-8.43390289405615,151478
2023-03-20,-8.246151829192108,129819
2023-03-21,-7.830059036318697,129796
2023-03-22,-8.241898547245057,107696
2023-03-23,-8.843277218121036,104913
2023-03-24,-8.973424400080917,86394
2023-03-27,-9.160644579737395,101652
2023-03-28,-9.05123794546878,90210
2023-03-29,-8.79815815947854,103286
2023-03-30,-9.372128706667931,101777
2023-03-31,-8.912930039327886,140728
2023-04-03,-8.78499653952876,106644
2023-04-04,-8.714788799885435,92204
2023-04-05,-8.979822647689994,92118
2023-04-06,-9.006483886581538,114772
2023-04-07,-8.225952086342197,152611
2023-04-10,-9.04744004925047,104117
2023-04-11,-8.550481156601046,137115
2023-04-12,-8.827882767829646,104603
2023-04-13,-9.183331856095451,94369
2023-04-14,-9.329998576717488,93872
2023-04-17,-9.217980368992269,116325
2023-04-18,-9.009506575770189,97569
2023-04-19,-8.376494411796386,151081
2023-04-20,-8.614651561344468,139753
2023-04-21,-9.017586277437903,88060
2023-04-24,-9.34056993266713,79661
2023-04-25,-9.482060616096112,77680
2023-04-26,-9.49905454271762,85576
2023-04-27,-9.99002470547584,95678
2023-04-28,-8.849269147770215,131426
2023-05-02,-8.764756520228477,122082
2023-05-03,-8.330375680597195,154818
2023-05-04,-8.799464882047019,125910
2023-05-05,-8.38344560426675,145242
2023-05-08,-8.878463936799763,83273
2023-05-10,-8.005972242308534,189796
2023-05-11,-7.367114644657716,243350
2023-05-12,-7.850411867311632,153969
2023-05-15,-8.515331785818477,125068
2023-05-16,-8.725461992361197,132886
2023-05-17,-8.660801674536042,150195
2023-05-18,-8.385098893622958,153894
2023-05-19,-8.999827675480052,103143
2023-05-22,-9.033373489887104,90126
2023-05-23,-8.19008745155543,152179
2023-05-24,-9.064373483699738,98082
2023-05-25,-9.45388525726414,87087
2023-05-26,-9.673350663142855,92650
2023-05-29,-8.88494568353699,99445
2023-05-30,-8.364936058674633,146331
2023-05-31,-8.983210917858688,108483
2023-06-01,-9.226334112299028,91147
2023-06-02,-9.137789075250232,102818
2023-06-05,-8.558033324108445,142550
2023-06-06,-8.51154227447672,172902
2023-06-07,-9.055944474217169,113718
2023-06-08,-9.194145076273996,93257
2023-06-09,-9.194540005779183,97024
2023-06-13,-9.39043309561809,107461
2023-06-14,-9.58917511833408,43338
2023-06-15,-9.412920199767216,104044
2023-06-16,-9.583764364039965,87217
2023-06-19,-9.394024860745148,87557
2023-06-20,-9.367124655292576,104842
2023-06-21,-9.49581335715183,121868
2023-06-22,-9.629232139060212,79976
2023-06-23,-7.923536423915614,173270
2023-06-26,-7.093251849938013,226349
2023-06-27,-9.21519026946491,90967
2023-06-28,-9.152409047618232,95140
2023-06-29,-8.92062516252795,117026
2023-06-30,-8.716325087975052,145215
2023-07-03,-8.738222005867753,103263
2023-07-04,-8.862058442291351,118570
2023-07-05,-9.18471193792798,94537
2023-07-06,-8.238213949056995,137293
